,driverid,lap,cume_sec
444,Lewis Hamilton,21,2379.835000038147
445,Jenson Button,21,2379.978995323181
446,Sergio Pérez,21,2384.2129917144775
447,Felipe Massa,21,2384.7580028772354
448,Marcus Ericsson,21,2389.767005741596
449,Carlos Sainz Jr.,21,2392.8010120391846
450,Daniel Ricciardo,21,2393.499993979931
451,Fernando Alonso,21,2393.962000608444
452,Kimi Räikkönen,21,2394.594996571541
453,Nico Hülkenberg,21,2397.083995819092
454,Max Verstappen,21,2402.92999958992
455,Esteban Gutiérrez,21,2405.95000064373
456,Pascal Wehrlein,21,2406.5970010757446
457,Jolyon Palmer,21,2412.8889902830124
458,Kevin Magnussen,21,2417.616998195648
459,Rio Haryanto,21,2418.3790086815134
460,Romain Grosjean,21,2421.4790056943893
461,Felipe Nasr,21,2430.085996866226
462,Nico Rosberg,22,2465.2209991812706
463,Daniil Kvyat,22,2478.091998875141
464,Sebastian Vettel,22,2479.7359981536865
465,Jenson Button,22,2484.4659948349
466,Sergio Pérez,22,2486.676992416382
467,Felipe Massa,22,2487.1930042505264
468,Valtteri Bottas,22,2494.0449984669685
469,Marcus Ericsson,22,2494.9160040020943
470,Carlos Sainz Jr.,22,2496.1060123443604
471,Daniel Ricciardo,22,2496.3049942851067
472,Kimi Räikkönen,22,2498.1449958086014
473,Fernando Alonso,22,2498.8249995708466
474,Nico Hülkenberg,22,2500.5259971618652
475,Lewis Hamilton,22,2500.7960000634193
476,Max Verstappen,22,2505.3499977588654
477,Esteban Gutiérrez,22,2508.7830008268356
478,Pascal Wehrlein,22,2511.14199924469
479,Jolyon Palmer,22,2517.799989581108
480,Kevin Magnussen,22,2519.927999019623
481,Rio Haryanto,22,2522.271006972529
482,Romain Grosjean,22,2524.3010042905807
483,Felipe Nasr,22,2532.9359953403473
484,Nico Rosberg,23,2566.088999211788
485,Daniil Kvyat,23,2580.105998814106
486,Sebastian Vettel,23,2581.549997329712
487,Jenson Button,23,2588.8089933395386
488,Sergio Pérez,23,2589.4819927215576
489,Felipe Massa,23,2589.922004342079
490,Valtteri Bottas,23,2595.602997124195
491,Daniel Ricciardo,23,2599.37199562788
492,Marcus Ericsson,23,2599.9560049176216
493,Carlos Sainz Jr.,23,2600.1920108795166
494,Kimi Räikkönen,23,2600.9959975481033
495,Lewis Hamilton,23,2602.349001467228
496,Fernando Alonso,23,2603.3549983501434
497,Nico Hülkenberg,23,2604.6169967651367
498,Max Verstappen,23,2607.711997270584
499,Esteban Gutiérrez,23,2611.722000002861
500,Pascal Wehrlein,23,2615.264000892639
501,Kevin Magnussen,23,2622.551999568939
502,Jolyon Palmer,23,2623.3589876890182
503,Rio Haryanto,23,2626.170005233027
504,Romain Grosjean,23,2627.1790026426315
505,Felipe Nasr,23,2636.0609953403473
506,Nico Rosberg,24,2666.969999730587
507,Daniil Kvyat,24,2682.2669981122017
508,Sebastian Vettel,24,2683.7009983062744
509,Jenson Button,24,2693.3559942245483
510,Felipe Massa,24,2693.852004647255
511,Sergio Pérez,24,2694.4769916534424
512,Valtteri Bottas,24,2697.5689967274666
513,Daniel Ricciardo,24,2701.5469948649406
514,Carlos Sainz Jr.,24,2702.960012435913
515,Kimi Räikkönen,24,2704.1179991960526
516,Lewis Hamilton,24,2704.6700006127357
517,Marcus Ericsson,24,2706.4680059552193
518,Fernando Alonso,24,2707.415999174118
519,Nico Hülkenberg,24,2708.352996826172
520,Max Verstappen,24,2710.5559990406036
521,Esteban Gutiérrez,24,2715.1199988126755
522,Pascal Wehrlein,24,2719.4350023269653
523,Kevin Magnussen,24,2726.085000514984
524,Rio Haryanto,24,2730.1910051414743
525,Romain Grosjean,24,2730.612001299858
526,Jolyon Palmer,24,2734.040986895561
527,Felipe Nasr,24,2739.3219969272614
528,Nico Rosberg,25,2767.8459991812706
529,Daniil Kvyat,25,2784.55099850893
530,Sebastian Vettel,25,2785.8479976654053
531,Felipe Massa,25,2796.7630039453506
532,Jenson Button,25,2798.8769941329956
533,Sergio Pérez,25,2799.360990524292
534,Valtteri Bottas,25,2799.6179965138435
535,Daniel Ricciardo,25,2803.529996573925
536,Carlos Sainz Jr.,25,2805.458013534546
537,Kimi Räikkönen,25,2806.6699973344803
538,Lewis Hamilton,25,2807.3090005517006
539,Marcus Ericsson,25,2811.3700063824654
540,Fernando Alonso,25,2811.7899997234344
541,Nico Hülkenberg,25,2812.5199966430664
542,Max Verstappen,25,2813.6489975452423
543,Esteban Gutiérrez,25,2818.485999941826
544,Pascal Wehrlein,25,2823.7500009536743
545,Kevin Magnussen,25,2829.628999233246
546,Rio Haryanto,25,2834.1150049278513
547,Romain Grosjean,25,2834.4150027036667
548,Felipe Nasr,25,2842.868997812271
549,Jolyon Palmer,25,2854.6539868712425
550,Nico Rosberg,26,2868.4260010123253
551,Daniil Kvyat,26,2887.159999668598
552,Sebastian Vettel,26,2888.2309970855713
553,Felipe Massa,26,2899.414004921913
554,Sergio Pérez,26,2903.887990951538
555,Valtteri Bottas,26,2904.681995689869
556,Jenson Button,26,2905.2639951705933
557,Daniel Ricciardo,26,2906.067994773388
558,Carlos Sainz Jr.,26,2908.1490154266357
559,Kimi Räikkönen,26,2908.971995472908
560,Lewis Hamilton,26,2909.8210015892982
561,Fernando Alonso,26,2916.347998380661
562,Max Verstappen,26,2917.303996324539
563,Marcus Ericsson,26,2917.906005680561
564,Esteban Gutiérrez,26,2922.405998110771
565,Nico Hülkenberg,26,2923.2019958496094
566,Pascal Wehrlein,26,2928.137001991272
567,Kevin Magnussen,26,2933.434998989105
568,Rio Haryanto,26,2938.592006118037
569,Romain Grosjean,26,2939.3150042295456
570,Felipe Nasr,26,2946.4709990024567
571,Jolyon Palmer,26,2956.885985314846
572,Nico Rosberg,27,2969.2490028738976
573,Daniil Kvyat,27,2989.6619985699654
574,Sebastian Vettel,27,2990.6409969329834
575,Felipe Massa,27,3002.2750049829483
576,Valtteri Bottas,27,3007.941994011402
577,Sergio Pérez,27,3008.507989883423
578,Daniel Ricciardo,27,3009.317994773388
579,Carlos Sainz Jr.,27,3011.59401512146
580,Kimi Räikkönen,27,3012.395995259285
581,Lewis Hamilton,27,3012.8280015587807
582,Jenson Button,27,3017.451994895935
583,Fernando Alonso,27,3020.0169970989227
584,Max Verstappen,27,3020.551997423172
585,Marcus Ericsson,27,3022.9840047955513
586,Esteban Gutiérrez,27,3026.009998202324
587,Kevin Magnussen,27,3037.8119978904724
588,Pascal Wehrlein,27,3038.096001625061
